order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2023-08-22 16:12:12,413,2,1
2,2023-07-25 03:52:27,1338,1,1
3,2022-05-26 14:15:06,1464,3,2
4,2022-01-01 10:23:19,269,2,3
5,2024-11-29 11:35:26,1463,4,3
6,2023-10-30 21:11:44,1679,1,3
7,2022-01-10 00:52:36,1827,1,3
8,2024-06-25 08:22:15,23,1,4
9,2024-06-08 21:37:40,248,2,4
10,2022-06-16 14:03:48,296,3,4
11,2024-03-17 15:01:49,1343,4,4
12,2024-05-12 05:28:40,492,1,5
13,2023-06-23 07:16:46,221,2,6
14,2023-03-30 07:28:59,308,3,6
15,2023-10-21 19:08:12,1186,1,6
16,2024-08-05 22:43:27,1225,2,6
17,2022-08-01 10:00:15,1309,3,6
18,2022-03-02 00:02:12,1773,3,6
19,2023-05-14 21:07:52,10,3,7
20,2022-12-21 07:38:14,1226,2,7
21,2022-08-16 17:24:09,1819,4,7
22,2022-08-07 12:23:16,1297,2,8
23,2022-03-29 21:13:10,84,1,9
24,2024-08-31 18:09:07,380,4,9
25,2023-01-02 00:23:06,646,2,9
26,2023-07-11 02:25:29,1834,3,9
27,2024-05-27 09:04:37,264,2,10
28,2024-06-09 21:06:41,379,4,10
29,2023-03-22 21:53:54,451,2,10
30,2023-09-23 00:32:28,654,4,10
31,2023-04-13 19:40:08,938,3,10
32,2022-04-19 23:18:48,1309,4,10
33,2022-08-14 16:24:22,1889,1,10
34,2022-07-17 20:22:14,97,2,11
35,2024-03-19 13:51:32,244,1,11
36,2023-09-10 22:27:25,1384,2,11
37,2022-09-17 04:25:30,1805,3,11
38,2023-09-26 16:26:10,257,2,12
39,2022-01-28 22:56:00,267,2,12
40,2023-04-24 14:17:02,1840,2,12
41,2022-09-15 07:27:55,717,4,13
42,2024-01-28 03:45:32,835,3,13
43,2022-07-20 18:42:21,855,4,13
44,2023-04-07 00:03:21,914,2,13
45,2023-07-12 15:10:47,1136,1,13
46,2022-02-21 14:23:19,1850,2,13
47,2023-06-02 07:14:16,673,1,14
48,2024-02-19 22:29:48,427,4,15
49,2023-04-29 16:46:08,506,1,15
50,2022-06-06 10:36:49,679,4,16
51,2024-09-11 17:12:38,205,3,17
52,2024-11-18 05:57:14,455,1,17
53,2022-12-22 20:42:03,533,4,17
54,2024-01-22 18:12:20,589,4,17
55,2022-11-03 06:04:16,1017,4,17
56,2022-11-20 13:58:32,1806,1,17
57,2022-10-10 09:22:19,1963,1,17
58,2023-03-15 18:45:27,103,2,18
59,2023-05-11 22:31:11,348,2,18
60,2022-06-24 09:32:00,1373,2,18
61,2022-05-01 16:55:51,1749,3,18
62,2024-06-18 10:21:24,1915,1,18
63,2024-04-28 10:52:34,644,3,19
64,2023-06-21 07:54:35,1484,3,19
65,2023-06-24 18:52:19,1924,3,19
66,2022-05-10 13:51:12,296,2,20
67,2024-11-30 11:50:31,980,1,20
68,2023-09-12 18:47:26,1242,4,20
69,2022-07-01 00:55:01,1376,3,20
70,2022-08-16 06:47:00,318,4,21
71,2023-11-06 15:06:12,555,1,21
72,2021-12-30 00:23:19,1146,4,21
73,2023-09-29 05:55:37,1275,2,21
74,2022-08-26 03:35:10,558,3,22
75,2022-02-20 05:15:58,670,3,22
76,2022-04-01 10:15:30,208,2,23
77,2022-12-13 17:59:17,461,3,23
78,2023-04-20 23:55:23,1100,1,23
79,2023-08-28 19:07:08,1598,3,23
80,2024-04-01 18:25:27,591,3,24
81,2023-05-07 00:27:53,940,3,24
82,2024-10-11 01:29:05,1678,1,24
83,2024-02-28 14:30:08,1816,1,24
84,2023-07-12 12:39:04,78,1,25
85,2023-01-22 04:19:28,107,3,25
86,2022-11-02 06:46:49,139,4,25
87,2022-11-07 08:22:38,297,3,25
88,2022-02-09 16:37:07,1317,4,25
89,2022-11-23 14:50:01,1492,3,25
90,2023-07-04 02:44:44,1587,2,25
91,2022-01-05 05:08:04,260,1,26
92,2024-02-28 15:19:10,1280,1,26
93,2024-06-05 19:19:52,1890,2,26
94,2022-03-14 03:53:27,62,3,27
95,2022-05-16 10:25:21,1324,1,27
96,2024-10-01 09:28:50,1929,4,27
97,2023-06-05 04:48:14,791,3,28
98,2024-10-16 20:25:15,1390,1,28
99,2023-09-28 23:14:05,1105,3,29
100,2024-06-09 08:08:54,1221,4,29
101,2023-02-23 08:10:43,1518,3,29
102,2022-04-22 00:31:55,1729,4,29
103,2023-12-11 22:58:18,1742,2,29
104,2023-09-13 14:09:04,254,1,30
105,2022-04-13 04:35:57,532,4,30
106,2024-06-30 22:29:45,850,2,30
107,2022-06-07 16:30:20,1649,4,31
108,2023-03-16 05:36:51,1900,2,31
109,2023-06-16 20:35:44,1664,1,32
110,2024-05-02 19:15:43,1787,3,32
111,2023-10-05 03:05:33,39,1,33
112,2022-11-17 19:52:23,90,4,33
113,2023-05-08 04:13:38,356,4,33
114,2022-03-11 11:56:05,786,4,33
115,2022-12-18 11:11:10,939,3,33
116,2024-01-23 23:36:03,1761,3,33
117,2023-01-05 02:12:58,14,3,34
118,2023-02-16 12:10:14,707,4,34
119,2022-10-20 09:46:19,1481,4,34
120,2024-07-21 18:36:09,637,1,35
121,2024-10-28 15:58:30,935,4,35
122,2023-03-09 06:34:30,1312,1,35
123,2022-07-18 19:37:22,1865,3,35
124,2022-03-04 16:08:05,1879,3,35
125,2023-11-04 00:25:48,262,4,36
126,2022-12-01 21:25:43,1255,3,36
127,2023-05-06 09:45:00,493,1,37
128,2024-10-01 06:51:56,835,4,37
129,2023-09-01 09:10:05,1586,2,37
130,2023-05-22 06:52:40,1707,3,37
131,2024-10-31 14:38:19,1866,3,37
132,2024-11-07 14:42:35,1874,2,38
133,2024-03-10 18:12:30,3,2,39
134,2023-06-06 12:02:36,720,1,40
135,2023-11-28 07:25:29,1088,1,40
136,2024-11-12 23:09:10,1278,2,40
137,2023-10-24 03:33:16,191,2,41
138,2022-01-30 17:38:09,1253,3,41
139,2022-09-23 05:33:40,946,1,42
140,2023-07-22 09:24:49,1697,4,42
