line_id,order_id,book_id,price
1,1213,6476,13.42
2,5308,6784,0.7
3,240,3857,12.55
4,2333,1091,12.14
5,4335,8258,17.79
6,6382,2447,8.63
7,8429,5548,3.96
8,9452,5509,17.62
9,10475,10234,19.11
10,10986,213,4.57
11,133,950,14.82
12,1857,4995,0.43
13,4228,8466,14.79
14,6275,4629,17.22
15,8322,638,14.06
16,9345,3823,12.17
17,10368,137,4.71
18,10879,1561,19.91
19,1075,6183,15.85
20,5170,3284,1.97
21,7217,6749,14.75
22,566,9666,2.61
23,4661,520,16.84
24,6708,769,16.4
25,8755,9928,0.03
26,9778,3683,13.01
27,928,2881,6.87
28,5023,10455,13.37
29,7070,5824,12.24
30,1715,5435,12.14
31,1448,6342,0.58
32,5543,4829,1.67
33,19,1278,6.49
34,4114,3079,8.21
35,6161,2488,17.71
36,8208,8433,2.65
37,9231,4315,10.84
38,10254,6091,2.21
39,10765,10131,4.42
40,11276,4146,4.01
41,11403,9846,16.46
42,1235,5114,16.59
43,5330,8557,7.13
44,1724,5286,6.12
45,117,1161,12.08
46,1024,7862,14.43
47,4212,5415,5.39
48,5119,9876,12.59
49,6259,5392,10.69
50,7166,2427,9.75
51,8306,8708,9.02
52,9329,10099,3.7
53,10352,2246,9.08
54,10863,7397,19.24
55,1216,9075,3.84
56,5311,5708,19.78
57,1224,4522,1.29
58,5319,1157,6.52
59,2072,3540,12.25
60,793,1204,14.07
61,4888,2143,17.05
62,6935,7615,17.3
63,8982,3021,15.25
64,2074,11101,14.03
65,474,5717,9.3
66,4569,8715,10.43
67,6616,2862,14.43
68,8663,9315,0.42
69,9686,6590,17.98
70,231,7985,17.83
71,4326,3386,16.94
72,6373,3597,1.49
73,8420,4481,15.8
74,9443,8265,6.87
75,10466,5444,8.31
76,10977,6791,16.09
77,8,2139,10.94
78,755,1768,3.06
79,4103,3221,19.75
80,4850,774,7.7
81,6150,7959,8.45
82,6897,10747,11.25
83,8197,10174,17.7
84,8944,7576,15.0
85,9220,7871,5.74
86,10243,3474,14.01
87,10754,6297,14.56
88,11265,10479,10.51
89,11392,8916,8.61
90,1536,8327,9.01
91,676,87,13.74
92,1469,4592,0.04
93,4771,8576,16.97
94,5564,10361,2.19
95,6818,8399,8.9
96,8865,10699,9.44
97,1101,5293,19.24
98,1835,4273,0.67
99,5196,165,19.48
100,7243,9188,4.14
101,1531,6195,3.26
102,247,1625,4.8
103,4342,8490,1.89
104,6389,2041,12.67
105,8436,6863,3.68
106,9459,773,15.9
107,10482,8534,9.0
108,10993,10559,7.9
109,1730,1428,9.12
110,1878,9970,2.24
111,554,9691,0.38
112,2252,5378,7.18
113,4649,3828,12.88
114,6696,2081,0.07
115,8743,5085,5.48
116,9766,11126,3.54
117,2253,9851,17.91
118,225,9143,8.44
119,1933,7185,19.24
120,4320,9709,9.54
121,6367,8536,8.09
122,8414,8038,7.95
123,9437,9135,18.25
124,10460,1093,15.08
125,10971,5297,2.35
126,362,1787,8.99
127,519,8530,9.68
128,4457,1340,3.0
129,4614,4325,9.87
130,6504,3353,0.52
131,6661,2526,1.13
132,8551,6685,16.7
133,8708,4143,7.13
134,9574,7416,5.25
135,9731,3474,15.48
136,10597,10383,6.88
137,111,10249,11.46
138,4206,1139,15.84
139,6253,7275,17.85
140,8300,5586,16.64
141,9323,7277,15.48
142,10346,10095,4.29
143,10857,3917,2.31
144,634,5814,5.31
145,4729,8456,0.07
146,6776,8205,13.53
147,8823,1897,16.45
148,441,6692,10.79
149,4536,9939,16.95
150,6583,6218,5.02
151,8630,6433,2.76
152,9653,10626,7.23
153,779,10482,12.52
154,2449,3391,12.9
155,4874,3468,12.46
156,6921,1995,0.55
157,8968,6683,18.4
158,2173,8881,4.62
159,1781,8450,2.1
160,1899,2743,18.35
161,2156,9434,9.74
162,512,9919,19.92
163,1955,3407,10.85
164,2274,8845,6.93
165,4607,3872,14.0
166,6654,5086,3.7
167,8701,6153,4.21
168,9724,4369,6.64
169,1090,5373,8.36
170,2310,7129,19.0
171,5185,9206,5.74
172,7232,10608,18.11
173,202,7435,12.48
174,4297,1290,14.15
175,6344,2098,16.41
176,8391,5988,4.57
177,9414,5883,19.15
